Number,Driver_Name,DoB,Player_Nationality,Ave_Speed(kph),Constructor_Name,Constructor_Nationality
1,michael_schumacher,1/3/69,German,226.933,Ferrari,Italian
2,barrichello,5/23/72,Brazilian,226.788,Ferrari,Italian
3,montoya,9/20/75,Colombian,223.844,Williams,British
4,ralf_schumacher,6/30/75,German,222.441,Williams,British
5,coulthard,3/27/71,British,221.142,McLaren,British
6,raikkonen,10/17/79,Finnish,217.098,McLaren,British
7,trulli,7/13/74,Italian,221.278,Renault,French
8,alonso,7/29/81,Spanish,224.365,Renault,French
9,button,1/19/80,British,222.032,BAR,British
10,sato,1/28/77,Japanese,221.787,BAR,British
11,fisichella,1/14/73,Italian,221.26,Sauber,Swiss
12,massa,4/25/81,Brazilian,219.823,Sauber,Swiss
14,webber,8/27/76,Australian,222.11,Jaguar,British
15,klien,2/7/83,Austrian,217.336,Jaguar,British
16,matta,9/19/73,Brazilian,217.385,Toyota,Japanese
17,panis,9/2/66,French,217.417,Toyota,Japanese
18,heidfeld,5/10/77,German,218.173,Jordan,Irish
19,pantano,2/4/79,Italian,215.659,Jordan,Irish
20,bruni,5/30/81,Italian,211.741,Minardi,Italian
21,baumgartner,1/1/81,Hungarian,210.666,Minardi,Italian